Ambito,Area,Elemento,Producto,Año,Unidad,Valor
Totales de las emisiones,Argentina,Emisiones (N2O),Residuos agrícolas,2020,mil toneladas,27.9445
Totales de las emisiones,Argentina,Emisiones (CH4),Cultivo del arroz,2020,mil toneladas,51.884
Totales de las emisiones,Argentina,Emisiones (CH4),Quemado de residuos agrícolas,2020,mil toneladas,29.296
Totales de las emisiones,Argentina,Emisiones (N2O),Quemado de residuos agrícolas,2020,mil toneladas,0.7595
Totales de las emisiones,Argentina,Emisiones (CH4),Fermentación entérica,2020,mil toneladas,3225.4757
Totales de las emisiones,Argentina,Emisiones (CH4),Gestión del estiércol,2020,mil toneladas,68.9128
Totales de las emisiones,Argentina,Emisiones (N2O),Gestión del estiércol,2020,mil toneladas,2.0537
Totales de las emisiones,Argentina,Emisiones (N2O),Estiércol depositado en las pasturas,2020,mil toneladas,90.1803
Totales de las emisiones,Argentina,Emisiones (N2O),Estiércol aplicado a los suelos,2020,mil toneladas,4.2169
Totales de las emisiones,Argentina,Emisiones (N2O),Fertilizantes sintéticos,2020,mil toneladas,29.1579
Totales de las emisiones,Argentina,Emisiones (CO2),Suelos orgánicos drenados (CO2),2020,mil toneladas,5215.7866
Totales de las emisiones,Argentina,Emisiones (N2O),Suelos orgánicos drenados (N2O),2020,mil toneladas,2.2089
Totales de las emisiones,Argentina,Emisiones (CH4),On-farm energy use,2020,mil toneladas,0.6761
Totales de las emisiones,Argentina,Emisiones (N2O),On-farm energy use,2020,mil toneladas,3.8473
Totales de las emisiones,Argentina,Emisiones (CO2),On-farm energy use,2020,mil toneladas,10870.6033
Totales de las emisiones,Argentina,Emisiones (CO2),Tierras forestales,2020,mil toneladas,-27952.2907
Totales de las emisiones,Argentina,Emisiones (CO2),Conversión neta de bosques,2020,mil toneladas,54702.45
Totales de las emisiones,Argentina,Emisiones (CH4),Incendios de sabana,2020,mil toneladas,68.3801
Totales de las emisiones,Argentina,Emisiones (N2O),Incendios de sabana,2020,mil toneladas,6.2434
Totales de las emisiones,Argentina,Emisiones (CH4),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Argentina,Emisiones (CO2),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Argentina,Emisiones (CH4),Incendios forestales,2020,mil toneladas,26.0966
Totales de las emisiones,Argentina,Emisiones (N2O),Incendios forestales,2020,mil toneladas,2.3827
Totales de las emisiones,Argentina,Emisiones (CH4),Incendios en los bosques tropicales húmedos,2020,mil toneladas,11.5587
Totales de las emisiones,Argentina,Emisiones (N2O),Incendios en los bosques tropicales húmedos,2020,mil toneladas,1.0554
Totales de las emisiones,Argentina,Emisiones (CH4),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,399.113
Totales de las emisiones,Argentina,Emisiones (N2O),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,1.8392
Totales de las emisiones,Argentina,Emisiones (CO2),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,3.901
Totales de las emisiones,Argentina,Emisiones (N2O),Fabricación de fertilizantes,2020,mil toneladas,0.2596
Totales de las emisiones,Argentina,Emisiones (CO2),Fabricación de fertilizantes,2020,mil toneladas,872.0205
Totales de las emisiones,Argentina,Emisiones (CH4),Fabricación de pesticidas,2020,mil toneladas,0.0
Totales de las emisiones,Argentina,Emisiones (N2O),Fabricación de pesticidas,2020,mil toneladas,0.0
Totales de las emisiones,Argentina,Emisiones (CO2),Fabricación de pesticidas,2020,mil toneladas,7446.0
Totales de las emisiones,Argentina,Emisiones (CH4),Uso de electricidad en agrícola,2020,mil toneladas,0.0071
Totales de las emisiones,Argentina,Emisiones (N2O),Uso de electricidad en agrícola,2020,mil toneladas,0.0012
Totales de las emisiones,Argentina,Emisiones (CO2),Uso de electricidad en agrícola,2020,mil toneladas,190.0734
Totales de las emisiones,Argentina,Emisiones (CH4),Transformación de alimentos,2020,mil toneladas,0.2291
Totales de las emisiones,Argentina,Emisiones (N2O),Transformación de alimentos,2020,mil toneladas,0.0331
Totales de las emisiones,Argentina,Emisiones (CO2),Transformación de alimentos,2020,mil toneladas,8917.4775
Totales de las emisiones,Argentina,Emisiones (CH4),Envasado alimentario,2020,mil toneladas,0.0536
Totales de las emisiones,Argentina,Emisiones (N2O),Envasado alimentario,2020,mil toneladas,0.0076
Totales de las emisiones,Argentina,Emisiones (CO2),Envasado alimentario,2020,mil toneladas,2136.5082
Totales de las emisiones,Argentina,Emisiones (CH4),Venta de alimentos,2020,mil toneladas,0.2597
Totales de las emisiones,Argentina,Emisiones (N2O),Venta de alimentos,2020,mil toneladas,0.0167
Totales de las emisiones,Argentina,Emisiones (CO2),Venta de alimentos,2020,mil toneladas,2416.4493
Totales de las emisiones,Argentina,Emisiones (CH4),Consumo de alimentos en los hogares,2020,mil toneladas,0.3681
Totales de las emisiones,Argentina,Emisiones (N2O),Consumo de alimentos en los hogares,2020,mil toneladas,0.0143
Totales de las emisiones,Argentina,Emisiones (CO2),Consumo de alimentos en los hogares,2020,mil toneladas,5033.6057
Totales de las emisiones,Argentina,Emisiones (CH4),Transformación de alimentos,2020,mil toneladas,1.5226
Totales de las emisiones,Argentina,Emisiones (N2O),Transformación de alimentos,2020,mil toneladas,0.4087
Totales de las emisiones,Argentina,Emisiones (CO2),Transformación de alimentos,2020,mil toneladas,5317.9718
Totales de las emisiones,Argentina,Emisiones (CH4),Energía,2020,mil toneladas,844.0
Totales de las emisiones,Argentina,Emisiones (N2O),Energía,2020,mil toneladas,6.52
Totales de las emisiones,Argentina,Emisiones (CO2),Energía,2020,mil toneladas,164000.0
Totales de las emisiones,Argentina,Emisiones (CH4),IPPU,2020,mil toneladas,1.37
Totales de las emisiones,Argentina,Emisiones (N2O),IPPU,2020,mil toneladas,0.596
Totales de las emisiones,Argentina,Emisiones (CO2),IPPU,2020,mil toneladas,8740.0
Totales de las emisiones,Argentina,Emisiones (CH4),Desechos,2020,mil toneladas,508.0
Totales de las emisiones,Argentina,Emisiones (N2O),Desechos,2020,mil toneladas,3.04
Totales de las emisiones,Argentina,Emisiones (CO2),Desechos,2020,mil toneladas,11.7
Totales de las emisiones,Argentina,Emisiones (N2O),Otro,2020,mil toneladas,3.92
