Ambito,Area,Elemento,Producto,Año,Unidad,Valor
Totales de las emisiones,Afganistán,Emisiones (N2O),Residuos agrícolas,2020,mil toneladas,1.6133
Totales de las emisiones,Afganistán,Emisiones (CH4),Cultivo del arroz,2020,mil toneladas,20.6577
Totales de las emisiones,Afganistán,Emisiones (CH4),Quemado de residuos agrícolas,2020,mil toneladas,3.4826
Totales de las emisiones,Afganistán,Emisiones (N2O),Quemado de residuos agrícolas,2020,mil toneladas,0.0903
Totales de las emisiones,Afganistán,Emisiones (CH4),Fermentación entérica,2020,mil toneladas,378.5858
Totales de las emisiones,Afganistán,Emisiones (CH4),Gestión del estiércol,2020,mil toneladas,24.2306
Totales de las emisiones,Afganistán,Emisiones (N2O),Gestión del estiércol,2020,mil toneladas,0.4033
Totales de las emisiones,Afganistán,Emisiones (N2O),Estiércol depositado en las pasturas,2020,mil toneladas,10.3532
Totales de las emisiones,Afganistán,Emisiones (N2O),Estiércol aplicado a los suelos,2020,mil toneladas,1.6092
Totales de las emisiones,Afganistán,Emisiones (N2O),Fertilizantes sintéticos,2020,mil toneladas,0.8983
Totales de las emisiones,Afganistán,Emisiones (CO2),Suelos orgánicos drenados (CO2),2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (N2O),Suelos orgánicos drenados (N2O),2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (CO2),Tierras forestales,2020,mil toneladas,154.6574
Totales de las emisiones,Afganistán,Emisiones (CO2),Conversión neta de bosques,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (CH4),Incendios de sabana,2020,mil toneladas,0.2077
Totales de las emisiones,Afganistán,Emisiones (N2O),Incendios de sabana,2020,mil toneladas,0.019
Totales de las emisiones,Afganistán,Emisiones (CH4),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (CO2),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (CH4),Incendios forestales,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (N2O),Incendios forestales,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (CH4),Incendios en los bosques tropicales húmedos,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (N2O),Incendios en los bosques tropicales húmedos,2020,mil toneladas,0.0
Totales de las emisiones,Afganistán,Emisiones (CH4),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,120.2471
Totales de las emisiones,Afganistán,Emisiones (N2O),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,0.7294
Totales de las emisiones,Afganistán,Emisiones (CO2),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,36.9745
Totales de las emisiones,Afganistán,Emisiones (CO2),Fabricación de fertilizantes,2020,mil toneladas,38.2179
Totales de las emisiones,Afganistán,Emisiones (CH4),Uso de electricidad en agrícola,2020,mil toneladas,0.0025
Totales de las emisiones,Afganistán,Emisiones (N2O),Uso de electricidad en agrícola,2020,mil toneladas,0.0011
Totales de las emisiones,Afganistán,Emisiones (CO2),Uso de electricidad en agrícola,2020,mil toneladas,101.3764
Totales de las emisiones,Afganistán,Emisiones (CH4),Venta de alimentos,2020,mil toneladas,0.0013
Totales de las emisiones,Afganistán,Emisiones (N2O),Venta de alimentos,2020,mil toneladas,0.0005
Totales de las emisiones,Afganistán,Emisiones (CO2),Venta de alimentos,2020,mil toneladas,57.5409
Totales de las emisiones,Afganistán,Emisiones (CH4),Consumo de alimentos en los hogares,2020,mil toneladas,0.1123
Totales de las emisiones,Afganistán,Emisiones (N2O),Consumo de alimentos en los hogares,2020,mil toneladas,0.0041
Totales de las emisiones,Afganistán,Emisiones (CO2),Consumo de alimentos en los hogares,2020,mil toneladas,1543.9095
Totales de las emisiones,Afganistán,Emisiones (CH4),Transformación de alimentos,2020,mil toneladas,0.1327
Totales de las emisiones,Afganistán,Emisiones (N2O),Transformación de alimentos,2020,mil toneladas,0.0492
Totales de las emisiones,Afganistán,Emisiones (CO2),Transformación de alimentos,2020,mil toneladas,528.5756
Totales de las emisiones,Afganistán,Emisiones (CH4),Energía,2020,mil toneladas,41.6
Totales de las emisiones,Afganistán,Emisiones (N2O),Energía,2020,mil toneladas,0.315
